"cam_sd","div_shan","ForestType","Forest","Season","Cam_Model","ForestShannon","meanSSDominance","MeanAllDensity","meanAllDominance","NumDeer","RoadDensity50","Aspect50","Slope50","P_Water50","P_Mixed50","P_Deciduous50","P_Forest50","P_Development50","P_Agriculture50","P_Shrub50","P_Herb50","Elevation50"
"C27-SD3",0,"Deciduous","DON","Spring","Browning ",1.63,4450.589593,3633.333333,26.53918644,4,0,108.434952,2.263636112,0,5.017921,35.483871,52.688172,0,0,0,0,246
"C28-SD38",0.610864302,"Pine","DEG","Spring","Bushnell HD",0.61,3577.924967,2238.888889,35.65043782,7,0,90,2.8624053,1.971326,3.225806,37.634409,88.530466,0,0,3.405018,0,130
"C30-SD22",1.230779542,"Deciduous","BC","Spring","Bushnell HD",1.07,72518.43042,33070.83333,26.43346531,39,0,98.1301041,5.051152706,0,0,100,100,0,0,0,0,274
"C32-SD39",0.636514168,"Pine","WHIP","Spring","Browning ",1.45,35473.81705,37979.16667,52.51739898,2,0.513261553,180,11.30993271,0,1.075269,65.949821,95.519714,1.792115,0,2.867384,0.537634,119
"C3-SD5",1.039720771,"Deciduous","SH","Summer","Bushnell HD",1.71,32724.92347,7550,24.73308483,1,0,258.690063,3.64697051,4.121864,1.612903,49.283154,81.72043,0,0,3.584229,2.508961,134
"C6-SD41",0.421126771,"Deciduous","DON","Summer","Browning ",1.63,4450.589593,3633.333333,26.53918644,37,0.44764805,124.380348,16.05431557,0,2.867384,91.397849,97.491039,0,0,0,0,257
"C15-SD16",1.712071491,"Pine","WHIP","Summer","Browning ",1.45,35473.81705,37979.16667,52.51739898,14,0,333.434937,3.199601412,3.405018,0,85.663082,85.842293,0,0,0,0,113
"C23-SD32",1.799644894,"Deciduous","SH","Summer","Bushnell HD",1.71,32724.92347,7550,24.73308483,10,0,153.434952,18.54197884,0,0,49.641577,49.641577,0,4.659498,18.996416,0,156
"C27-SD35",0.693147181,"Pine","DEG","Summer","Browning ",0.61,3577.924967,2238.888889,35.65043782,1,0,245.556046,8.588925362,0,0,89.605735,89.605735,0,0,4.301075,3.584229,128
"C31-SD3",1.037392325,"Pine","WHIP","Summer","Bushnell HD",1.45,35473.81705,37979.16667,52.51739898,11,0.3535004,237.528809,9.256682396,0,0.716846,98.566308,99.283154,0,0,0,0,270
"C32-SD26",1.298169632,"Pine","WF","Summer","Browning ",1.2,48171.08736,9933.333333,32.48932693,18,0,108.434952,6.762860775,4.121864,0,80.46595,80.46595,0,0,0,7.885305,131
"C33-SD23",1.212153251,"Deciduous","DON","Summer","Browning ",1.63,4450.589593,3633.333333,26.53918644,14,0.599027752,206.565048,3.199601412,1.075269,2.688172,60.573477,77.240144,4.121864,0,8.243728,3.405018,200
"C1-SD23",1.721241237,"Pine","DEG","Fall","Bushnell HD",0.61,3577.924967,2238.888889,35.65043782,12,0,15.2551184,8.111279488,0.358423,1.25448,50,99.283154,0,0,0,0,127
"C3-SD39",0.598269589,"Pine","WF","Fall","Bushnell HD",1.2,48171.08736,9933.333333,32.48932693,5,0,270,4.289153576,0.358423,4.121864,86.55914,94.623656,0,0,0,0,279
"C5-SD34",0.519579839,"Pine","WF","Fall","Browning ",1.2,48171.08736,9933.333333,32.48932693,11,0,341.5651,4.520227432,2.150538,10.9319,17.383513,86.559141,0,0,0,0,222
"C7-SD42",1.735000213,"Pine","WHIP","Fall","Browning ",1.45,35473.81705,37979.16667,52.51739898,7,0,220.236359,12.01703548,6.451613,0,85.304659,85.304659,0,0,1.792115,0,144
"C10-SD35",1.546598686,"Deciduous","DON","Fall","Bushnell HD",1.63,4450.589593,3633.333333,26.53918644,2,0.676785306,315,1.012750387,0,2.329749,29.21147,89.247312,0,4.83871,6.451613,0,263
"C14-SD25",1.054920168,"Deciduous","DON","Fall","Browning ",1.63,4450.589593,3633.333333,26.53918644,2,1.053959516,108.434952,8.984876633,1.075269,2.867384,84.946237,87.813621,0,0,0,0,279
"C15-SD6",0.919312403,"Deciduous","SH","Fall","Browning ",1.71,32724.92347,7550,24.73308483,141,0,270,2.8624053,0,11.648746,22.759857,91.756273,0,0,1.075269,0,238
"C17-SD26",1.72213996,"Pine","WHIP","Fall","Browning ",1.45,35473.81705,37979.16667,52.51739898,7,0,296.565063,3.199601412,6.09319,0,89.605735,89.605735,0,0,1.792115,0,147
"C23-SD24",1.08693416,"Deciduous","SH","Fall","Bushnell HD",1.71,32724.92347,7550,24.73308483,2,1.280475657,131.185928,14.88256741,0,5.376344,66.308244,93.010753,5.734767,0,0,0,227
"C27-SD41",1.263654432,"Deciduous","BC","Fall","Browning ",1.07,72518.43042,33070.83333,26.43346531,4,0.015118817,305.537689,6.137379646,0,4.121864,84.587814,94.086022,0,0,0,0,273
"C28-SD1",0.897604113,"Deciduous","SH","Fall","Browning ",1.71,32724.92347,7550,24.73308483,15,0.723268761,0,2.8624053,0,2.688172,38.351254,68.279569,1.075269,4.659498,1.612903,0,210
"C30-SD17",0,"Deciduous","DON","Fall","Bushnell HD",1.63,4450.589593,3633.333333,26.53918644,9,0.820708428,302.471191,9.256682396,0,1.433692,15.232975,95.519714,0,0,0,3.225806,260
"C31-SD15",1.064030442,"Pine","WHIP","Fall","Bushnell HD",1.45,35473.81705,37979.16667,52.51739898,68,0,180,11.30993271,0,1.612903,76.164875,91.039427,0,0,9.498208,0,189
"C32-SD13",0.282600107,"Pine","WHIP","Fall","Browning ",1.45,35473.81705,37979.16667,52.51739898,43,0,295.016907,11.69020844,0,0,96.774194,100.179212,0,0,0,0,227
"C33-SD38",1.479834859,"Pine","DEG","Fall","Browning ",0.61,3577.924967,2238.888889,35.65043782,15,0.247407766,98.1301041,5.051152706,2.329749,1.075269,33.870968,81.362008,0,0,1.971326,0.537634,249
"C34-SD21",0.89380776,"Pine","WF","Fall","Browning ",1.2,48171.08736,9933.333333,32.48932693,77,0.983261847,296.565063,3.199601412,0,0.716846,57.526882,98.74552,0,0,0,0,350
"C35-SD16",0.672396262,"Deciduous","BC","Fall","Browning ",1.07,72518.43042,33070.83333,26.43346531,27,0,71.5650482,2.263636112,2.688172,0,82.616487,82.616487,0,0,0,0,142
